cluster_idx,i_S,i_tot_S,i_V,i_tot_V,i_C,i_tot_C,i_ER,i_M1,i_M2,i_M3,i_M4,i_M5,i_M6,i_M7,i_e1,i_e2,i_e3,i_e4,i_e5,i_e6,i_e7,i_e8,i_e9,i_e10,i_e11
0,0.657888888888889,0.4372777777777778,0.5332222222222223,0.20555555555555555,0.6483333333333333,0.2927222222222222,0.38272222222222224,0.2945555555555555,0.5194444444444444,0.9444444444444444,0.10127777777777777,0.1388888888888889,0.1527777777777778,0.43694444444444447,0.24444444444444446,0.34444444444444444,0.10277777777777779,0.06666666666666667,0.5602222222222222,0.38000000000000006,0.38,0.5208888888888888,0.3855,0.9062222222222223,0.9062222222222223
1,0.4852173913043478,0.2253913043478261,0.233,0.06730434782608696,0.4034782608695652,0.17973913043478262,0.15217391304347827,0.2881304347826087,0.5704347826086957,0.8956521739130435,0.09756521739130436,0.043478260869565216,0.1956521739130435,0.44152173913043474,0.2521739130434783,0.2608695652173913,0.02608695652173913,0.030434782608695653,0.35873913043478256,0.26130434782608697,0.23956521739130437,0.10865217391304348,0.14130434782608695,0.2146521739130435,0.2146521739130435
2,0.5573636363636364,0.37972727272727275,0.3559090909090909,0.09781818181818182,0.31181818181818177,0.0951818181818182,0.298,0.43945454545454543,0.8,0.8545454545454546,0.09663636363636363,0.29545454545454547,0.7272727272727273,0.48772727272727273,0.2545454545454546,0.45454545454545453,0.05909090909090909,0.17272727272727273,0.4772727272727273,0.30272727272727273,0.3172727272727273,0.14763636363636365,0.18172727272727274,0.7840909090909091,0.7840909090909091
