,i_S,i_tot_S,i_V,i_tot_V,i_C,i_tot_C,i_ER,i_M1,i_M2,i_M3,i_M4,i_M5,i_M6,i_M7,i_e1,i_e2,i_e3,i_e4,i_e5,i_e6,i_e7,i_e8,i_e9,i_e10,i_e11,cluster_idx
11,0.464,0.319,0.524,0.2,0.57,0.0,0.444,0.12,0.33,1.0,0.032,0.0,0.0,0.5,0.2,0.2,0.0,0.0,0.75,0.17,0.17,0.188,0.188,1.0,1.0,1
26,0.826,0.456,0.524,0.2,0.71,0.44,0.556,0.599,0.4,1.0,0.063,0.25,0.5,0.335,0.2,0.2,0.1,0.1,0.5,0.5,0.5,0.688,0.5,0.875,0.875,2
48,0.638,0.729,0.744,0.3,0.85,0.327,0.667,0.299,0.5,0.8,0.263,0.5,0.25,0.665,0.2,0.2,0.15,0.0,0.25,0.33,0.17,0.938,0.875,0.875,0.875,2
47,0.536,0.606,1.0,0.75,1.0,0.5,0.0,0.479,0.4,1.0,0.263,0.0,0.25,0.1,0.2,0.6,0.15,0.05,0.25,0.17,0.33,0.562,0.188,0.875,0.875,2
12,0.754,0.263,0.22,0.05,0.57,0.66,0.222,0.12,0.5,1.0,0.032,0.25,0.0,0.5,0.2,0.6,0.15,0.15,0.5,0.5,0.67,0.5,0.25,1.0,1.0,2
13,0.667,0.223,0.329,0.076,0.85,0.327,0.611,0.24,0.5,1.0,0.095,0.0,0.0,0.5,0.2,0.2,0.0,0.05,0.25,0.33,0.5,0.312,0.438,1.0,1.0,2
17,0.71,0.545,0.61,0.3,0.85,0.327,1.0,0.749,0.4,0.8,0.053,0.0,0.25,0.5,0.6,0.6,0.0,0.0,0.667,0.33,0.33,0.188,0.188,1.0,1.0,2
37,0.783,0.485,0.329,0.076,0.71,0.44,0.111,0.12,0.6,1.0,0.032,0.0,0.0,0.5,0.2,0.2,0.1,0.0,0.75,0.33,0.17,0.562,0.375,0.75,0.75,2
22,1.0,0.517,0.5,0.224,0.57,0.22,0.667,0.599,1.0,1.0,0.053,0.5,0.25,0.5,0.2,0.2,0.4,0.4,0.5,0.67,0.83,1.0,1.0,1.0,1.0,2
33,0.638,0.183,0.744,0.3,0.85,0.327,0.889,0.12,0.6,1.0,0.053,0.0,0.5,0.5,0.4,0.4,0.0,0.15,0.5,0.5,0.33,0.75,0.75,1.0,1.0,2
42,0.232,0.06,0.549,0.124,0.43,0.327,0.5,0.12,0.5,1.0,0.347,0.0,0.25,0.375,0.2,0.2,0.15,0.0,1.0,0.17,0.17,1.0,0.688,0.75,0.75,2
51,0.319,0.151,0.439,0.1,0.71,0.167,0.111,0.299,0.5,0.4,0.084,0.0,0.0,0.1,0.4,0.8,0.05,0.05,0.667,0.5,1.0,1.0,0.75,1.0,1.0,2
